area_id	DEF_CELLNAME	def_cellname_chinese	lat	lon
NULL	0-394587-394587-71	长沙岳麓区湖大17至18舍(商学院拉远)ZL-B8300394587TF-71	28.18169	112.93963
6EABE14E-DA66-4371-A1A7-E83B12228020	0-459863-459863-1	长沙地铁2号线金星路站ZL-B8300459863TF-1	28.21017	112.92262
NULL	1-16053-1-131	衡阳市区二机楼2（武广）HLD3900256085PT-131	26.87037	112.70824
NULL	1-28681-1-131	衡阳雁峰幼师高校公寓楼1-2栋室分HLD3900991430TF-71	26.84314	112.59644
NULL	1-3112-1-2	衡阳市区华盛小区HLD3900466501PT-2	26.88174	112.64293
2D269F9C-12CD-48F3-B8C2-7439E1D078CC	1-5432-1-1	衡阳市区汽车南站HLD3900466550PT-1	26.83639	112.64222
2D269F9C-12CD-48F3-B8C2-7439E1D078CC	1-5432-1-2	衡阳市区汽车南站HLD3900466550PT-2	26.83639	112.64222
0BBB5812-ECC7-4EE9-BBC9-56E5BA04C7FD	3-10890-1-12	永州冷水滩木材总厂HFD3900469921PT-12	26.45157	111.61105
NULL	5-1230-1-2	长沙卫校宿舍楼2HL-D3900458956TF-1	28.26436	113.09064
8CB772E4-B69D-4901-B7CB-9961E233BA94	5-1693-1-21	长沙县湖南交通职院3(干杉交通技校拉远)HL-D3900459563TF-21	28.14351	113.18648
30667D01-53A2-4835-925B-B274C8A1C08A	5-1975-1-42	长沙安全职院HL-D3900460388PT-42	28.27336	113.05188
NULL	5-3022-1-1	长沙地铁2号线锦泰广场站HL-D3900459284TF-1	28.19528	113.01139
922F391B-FC11-4406-952B-9AF4CD2852F2	5-4313-1-22	长沙民政学院北院男生宿舍1F(民政3区10栋拉远)HL-D3900459000TF-22	28.13829	113.01747
87C51354-0610-45A2-AC8F-025FBF526661	5-5603-1-152	长沙地铁1号线培元桥站HL-D3900986380TF-152	28.20995	112.97111
CF49A405-F44E-4F22-BD6C-019E4A174E9A	5-6206-1-2	长沙泽禹混凝土公司HL-D3900460531PT-2	28.26505	112.98117
NULL	5-6377-1-2	长沙邮电科研所HL-D3900460014PT-2	28.22127	112.98569
NULL	5-697-1-2	长沙新开铺新天村HL-D3900460236PT-2	28.13731	112.96346
NULL	5-7712-1-1	长沙浏阳嘉利新世界A1-A2、B1-B2栋室分HL-D3900472293TF-1	28.21444	113.40212
64AD16CB-C070-4438-9AC3-DC6127903590	5-889-1-131	长沙理工云塘行健轩3-6栋HL-D390054173TF-131	28.07283	113.00056
E8F20DF7-CA7B-46C8-B00E-FC90AD548470	5-992-1-2	长沙辉鸿物流HL-D3900460187PT-2	28.10386	112.95399
F55B5802-AAE3-405D-B9A5-E878B2B7DE90	7310-459872-459872-2	长沙德智园公寓1(德智园6栋拉远)ZL-B8300459872TF-2	28.16699	112.93461
NULL	7310-986197-986197-131	长沙岳麓区金茂悦办公楼ZL-B8300986197TF-131	28.19738	112.88487
NULL	7313-459611-459611-1	长沙新华电脑学校ZL-B8300459611PT-1	28.21491	112.79154
5867CF2B-5A55-4ECC-B872-C1AF22ECF7DD	7313-461364-461364-1	长沙商学院3食堂F升级ZL-B8300461364PT-1	28.22559	112.91183
NULL	7360-261479-261479-134	常德市文理学院三食堂ZLB8300261479PT-134	29.05031	111.66266
NULL	7451-286363-286363-131	怀化鹤城宏泰小区ZLB8300286363PT-131	27.54945	109.99255
NULL	Nokia-102302-MRBTS-289949-LNBTS-289949-LNCEL-131	yozqiyangtangfangzuiNL-FSIH289949PT-131	26.57464	111.82084
NULL	Nokia-102302-MRBTS-290659-LNBTS-290659-LNCEL-131	yozdaoxianfayuanliantongNL-FSIH290659PT-131	25.52329	111.5849
8902929E-0FB8-415E-BD78-376A85B3697A	Nokia-102302-MRBTS-470116-LNBTS-470116-LNCEL-41	yozdaoxianshifanFL-FSMF470116PT-41	25.53041	111.58797
NULL	Nokia-102337-MRBTS-280168-LNBTS-280168-LNCEL-131	LDIXH-CaoJiaDaFengCunNL-FSIH280168PT-131	27.82537	111.3372
NULL	Nokia-102337-MRBTS-280687-LNBTS-280687-LNCEL-131	LDILY-XingZhiZhongXueLianTongGongXiangNL-FSIH280687PT-131	27.69523	111.67299
NULL	Nokia-102337-MRBTS-464893-LNBTS-464893-LNCEL-1	LDILX-FuQingNanLu(TeJiaoXueXiao)NL-FSMF464893PT-1	27.72111	111.98889
NULL	Nokia-102720-MRBTS-469681-LNBTS-469681-LNCEL-3	shylonghuixianliziyuanNL-FSMF469681PT-3	27.12111	111.02853
